Signal Legend:

Key        Signal Name

0        = HEX3
1        = HEX2
2        = HEX1
3        = HEX0
4        = PC

Data Table:

Signals-> 0   1   2   3   4     

sample

-2048     00h 00h 00h 00h 005Fh 
-2047     00h 00h 00h 00h 005Fh 
-2046     00h 00h 00h 00h 005Fh 
-2045     00h 00h 00h 00h 005Fh 
-2044     00h 00h 00h 00h 005Fh 
-2043     00h 00h 00h 00h 005Fh 
-2042     00h 00h 00h 00h 005Fh 
-2041     00h 00h 00h 00h 005Fh 
-2040     00h 00h 00h 00h 005Fh 
-2039     00h 00h 00h 00h 005Fh 
-2038     00h 00h 00h 00h 005Fh 
-2037     00h 00h 00h 00h 005Fh 
-2036     00h 00h 00h 00h 005Fh 
-2035     00h 00h 00h 00h 005Fh 
-2034     00h 00h 00h 00h 005Fh 
-2033     00h 00h 00h 00h 005Fh 
-2032     00h 00h 00h 00h 005Fh 
-2031     00h 00h 00h 00h 005Fh 
-2030     00h 00h 00h 00h 005Fh 
-2029     00h 00h 00h 00h 005Fh 
-2028     00h 00h 00h 00h 005Fh 
-2027     00h 00h 00h 00h 005Fh 
-2026     00h 00h 00h 00h 005Fh 
-2025     00h 00h 00h 00h 005Fh 
-2024     00h 00h 00h 00h 005Fh 
-2023     00h 00h 00h 00h 005Fh 
-2022     00h 00h 00h 00h 005Fh 
-2021     00h 00h 00h 00h 005Fh 
-2020     00h 00h 00h 00h 005Fh 
-2019     00h 00h 00h 00h 005Fh 
-2018     00h 00h 00h 00h 005Fh 
-2017     00h 00h 00h 00h 005Fh 
-2016     00h 00h 00h 00h 005Fh 
-2015     00h 00h 00h 00h 005Fh 
-2014     00h 00h 00h 00h 005Fh 
-2013     00h 00h 00h 00h 005Fh 
-2012     00h 00h 00h 00h 005Fh 
-2011     00h 00h 00h 00h 005Fh 
-2010     00h 00h 00h 00h 005Fh 
-2009     00h 00h 00h 00h 005Fh 
-2008     00h 00h 00h 00h 005Fh 
-2007     00h 00h 00h 00h 005Fh 
-2006     00h 00h 00h 00h 005Fh 
-2005     00h 00h 00h 00h 005Fh 
-2004     00h 00h 00h 00h 005Fh 
-2003     00h 00h 00h 00h 005Fh 
-2002     00h 00h 00h 00h 005Fh 
-2001     00h 00h 00h 00h 005Fh 
-2000     00h 00h 00h 00h 005Fh 
-1999     00h 00h 00h 00h 005Fh 
-1998     00h 00h 00h 00h 005Fh 
-1997     00h 00h 00h 00h 005Fh 
-1996     00h 00h 00h 00h 005Fh 
-1995     00h 00h 00h 00h 005Fh 
-1994     00h 00h 00h 00h 005Fh 
-1993     00h 00h 00h 00h 005Fh 
-1992     00h 00h 00h 00h 005Fh 
-1991     00h 00h 00h 00h 005Fh 
-1990     00h 00h 00h 00h 005Fh 
-1989     00h 00h 00h 00h 005Fh 
-1988     00h 00h 00h 00h 005Fh 
-1987     00h 00h 00h 00h 005Fh 
-1986     00h 00h 00h 00h 005Fh 
-1985     00h 00h 00h 00h 005Fh 
-1984     00h 00h 00h 00h 005Fh 
-1983     00h 00h 00h 00h 005Fh 
-1982     00h 00h 00h 00h 005Fh 
-1981     00h 00h 00h 00h 005Fh 
-1980     00h 00h 00h 00h 005Fh 
-1979     00h 00h 00h 00h 005Fh 
-1978     00h 00h 00h 00h 005Fh 
-1977     00h 00h 00h 00h 005Fh 
-1976     00h 00h 00h 00h 005Fh 
-1975     00h 00h 00h 00h 005Fh 
-1974     00h 00h 00h 00h 005Fh 
-1973     00h 00h 00h 00h 005Fh 
-1972     00h 00h 00h 00h 005Fh 
-1971     00h 00h 00h 00h 005Fh 
-1970     00h 00h 00h 00h 005Fh 
-1969     00h 00h 00h 00h 005Fh 
-1968     00h 00h 00h 00h 005Fh 
-1967     00h 00h 00h 00h 005Fh 
-1966     00h 00h 00h 00h 005Fh 
-1965     00h 00h 00h 00h 005Fh 
-1964     00h 00h 00h 00h 005Fh 
-1963     00h 00h 00h 00h 005Fh 
-1962     00h 00h 00h 00h 005Fh 
-1961     00h 00h 00h 00h 005Fh 
-1960     00h 00h 00h 00h 005Fh 
-1959     00h 00h 00h 00h 005Fh 
-1958     00h 00h 00h 00h 005Fh 
-1957     00h 00h 00h 00h 005Fh 
-1956     00h 00h 00h 00h 005Fh 
-1955     00h 00h 00h 00h 005Fh 
-1954     00h 00h 00h 00h 005Fh 
-1953     00h 00h 00h 00h 005Fh 
-1952     00h 00h 00h 00h 005Fh 
-1951     00h 00h 00h 00h 005Fh 
-1950     00h 00h 00h 00h 005Fh 
-1949     00h 00h 00h 00h 005Fh 
-1948     00h 00h 00h 00h 005Fh 
-1947     00h 00h 00h 00h 005Fh 
-1946     00h 00h 00h 00h 005Fh 
-1945     00h 00h 00h 00h 005Fh 
-1944     00h 00h 00h 00h 005Fh 
-1943     00h 00h 00h 00h 005Fh 
-1942     00h 00h 00h 00h 005Fh 
-1941     00h 00h 00h 00h 005Fh 
-1940     00h 00h 00h 00h 005Fh 
